Amount,Final_Origin_Balance,Final_Destination_Balance,Fraud,Transaction_Type_CASH_IN,Transaction_Type_CASH_OUT,Transaction_Type_DEBIT,Transaction_Type_PAYMENT,Transaction_Type_TRANSFER
7166.88,0.0,0.0,0,False,False,False,True,False
499380.8,1933794.24,127484.73,0,True,False,False,False,False
13119.97,2206.03,0.0,0,False,False,False,True,False
19358.73,0.0,556988.26,0,False,True,False,False,False
7519.23,0.0,0.0,0,False,False,False,True,False
11361.68,40180.32,0.0,0,False,False,False,True,False
118961.3,0.0,1625018.77,0,False,True,False,False,False
4341.45,0.0,0.0,0,False,False,False,True,False
148070.97,0.0,2663560.67,0,False,True,False,False,False
12492.84,0.0,0.0,0,False,False,False,True,False
6473.04,34826.68,0.0,0,False,False,False,True,False
12665.89,0.0,0.0,0,False,False,False,True,False
10976.29,137450.71,0.0,0,False,False,False,True,False
18397.48,0.0,0.0,0,False,False,False,True,False
138507.0,144030.0,648068.37,0,True,False,False,False,False
6964.41,0.0,0.0,0,False,False,False,True,False
370220.37,390291.37,0.0,0,True,False,False,False,False
23164.18,0.0,1858036.73,0,False,True,False,False,False
1604990.9,0.0,4622614.9,0,False,False,False,False,True
26276.22,200827.3,0.0,0,False,False,False,True,False
173404.28,0.0,1540233.19,0,False,True,False,False,False
3714.61,1323.39,0.0,0,False,False,False,True,False
315231.94,0.0,315231.94,0,False,True,False,False,False
6136.09,213836.44,0.0,0,False,False,False,True,False
46627.9,0.0,0.0,0,False,False,False,True,False
72955.07,12250708.75,1795972.5,0,True,False,False,False,False
418737.13,3236194.31,2041159.05,0,True,False,False,False,False
453595.03,0.0,1134264.27,0,False,False,False,False,True
315238.19,0.0,830137.96,0,False,True,False,False,False
363.12,740167.15,0.0,0,False,False,False,True,False
15808.02,0.0,89315.3,0,False,True,False,False,False
6380.8,47261.2,566752.89,0,False,True,False,False,False
238453.09,4261365.87,3080672.07,0,True,False,False,False,False
571289.71,5271249.35,352035.21,0,True,False,False,False,False
32068.6,492398.05,0.0,0,False,False,False,True,False
205114.46,9036976.87,110539.34,0,True,False,False,False,False
73805.84,7543594.23,351346.65,0,True,False,False,False,False
1140474.16,0.0,4575020.84,0,False,False,False,False,True
16017.72,0.0,0.0,0,False,False,False,True,False
113025.04,1011079.18,1108247.77,0,True,False,False,False,False
41663.47,0.0,1744514.79,0,False,True,False,False,False
144375.1,0.0,665132.12,0,False,True,False,False,False
80793.14,211289.14,135997.52,0,True,False,False,False,False
106987.51,0.0,1386490.0,0,False,True,False,False,False
11290.06,24760.94,0.0,0,False,False,False,True,False
35661.78,36101.78,0.0,0,True,False,False,False,False
132195.25,0.0,520829.86,0,False,False,False,False,True
7622.01,0.0,901763.84,0,False,True,False,False,False
84709.85,0.0,2933642.46,0,False,True,False,False,False
3393.07,0.0,0.0,0,False,False,False,True,False
34975.52,0.0,74873.66,0,False,True,False,False,False
1271.01,609.99,2574350.78,0,False,False,True,False,False
7284.29,0.0,0.0,0,False,False,False,True,False
16693.07,0.0,0.0,0,False,False,False,True,False
324731.73,0.0,324731.73,0,False,True,False,False,False
66603.69,11641972.4,2236550.72,0,True,False,False,False,False
462668.1,0.0,12362163.68,0,False,True,False,False,False
1948.37,16787.71,0.0,0,False,False,False,True,False
226323.76,0.0,459386.48,0,False,True,False,False,False
70790.59,0.0,2450392.04,0,False,True,False,False,False
3074.2,38444.8,0.0,0,False,False,False,True,False
85180.51,0.0,783681.46,0,False,True,False,False,False
77425.18,0.0,1860524.63,0,False,True,False,False,False
85848.84,0.0,0.0,0,False,False,False,True,False
70622.64,0.0,715022.95,0,False,True,False,False,False
60111.05,0.0,172663.12,0,False,True,False,False,False
3635328.11,0.0,3908580.24,0,False,False,False,False,True
394788.96,0.0,1273351.17,0,False,True,False,False,False
7545.25,13986.75,0.0,0,False,False,False,True,False
513625.95,0.0,436980.32,0,False,True,False,False,False
273427.82,1790701.91,2725379.24,0,True,False,False,False,False
2607.6,19031.4,0.0,0,False,False,False,True,False
816.44,0.0,0.0,0,False,False,False,True,False
152123.98,15447597.61,83276.05,0,True,False,False,False,False
193327.4,8357259.46,5213.23,0,True,False,False,False,False
8321.61,11321.39,0.0,0,False,False,False,True,False
9334.66,0.0,0.0,0,False,False,False,True,False
508328.07,0.0,1635549.47,0,False,True,False,False,False
186551.83,0.0,268882.1,0,False,True,False,False,False
114626.33,120652.33,0.0,0,True,False,False,False,False
65523.58,0.0,0.0,0,False,False,False,True,False
279993.03,0.0,1256639.68,0,False,True,False,False,False
23576.28,653709.69,0.0,0,False,False,False,True,False
341710.58,392126.58,0.0,0,True,False,False,False,False
14842.26,17206.19,0.0,0,False,False,False,True,False
11997957.55,0.0,24445153.94,0,False,False,False,False,True
89068.41,103808.41,2901547.13,0,True,False,False,False,False
440680.07,0.0,4184111.94,0,False,True,False,False,False
523111.11,0.0,2107076.47,0,False,False,False,False,True
10615.04,28510.31,0.0,0,False,False,False,True,False
132552.28,0.0,361828.56,0,False,True,False,False,False
98975.8,3924098.85,61864.94,0,True,False,False,False,False
2136.11,547887.77,0.0,0,False,False,False,True,False
34749.34,22022.66,34749.34,0,False,True,False,False,False
203737.03,0.0,519957.6,0,False,False,False,False,True
100969.53,644237.16,1221257.26,0,False,True,False,False,False
166922.22,0.0,166922.22,0,False,False,False,False,True
20246.79,9997.21,0.0,0,False,False,False,True,False
500698.98,0.0,0.0,0,False,False,False,False,True
151663.59,0.0,151663.59,0,False,True,False,False,False
224391.54,1495323.18,132816.13,0,True,False,False,False,False
888887.16,0.0,2580462.19,0,False,False,False,False,True
38749.56,0.0,0.0,0,False,False,False,True,False
23709.5,14544.5,0.0,0,False,False,False,True,False
1002.99,11115.01,0.0,0,False,False,False,True,False
988204.68,0.0,2815001.17,0,False,False,False,False,True
78946.39,170797.39,349341.5,0,True,False,False,False,False
3858.9,201941.38,0.0,0,False,False,False,True,False
13546.09,0.0,127769.28,0,False,True,False,False,False
1399.22,0.0,0.0,0,False,False,False,True,False
242030.09,9567224.2,241843.51,0,True,False,False,False,False
25845.83,0.0,0.0,0,False,False,False,True,False
4.9,96057.36,0.0,0,False,False,False,True,False
19406.28,170864.31,0.0,0,False,False,False,True,False
22036.15,83772.85,0.0,0,False,False,False,True,False
68665.93,8239699.88,743608.77,0,True,False,False,False,False
15897.57,22532.43,0.0,0,False,False,False,True,False
87250.03,0.0,2163162.9,0,False,True,False,False,False
67147.7,1397294.92,56980.49,0,True,False,False,False,False
211226.92,0.0,211226.92,0,False,True,False,False,False
12395.85,38818.11,0.0,0,False,False,False,True,False
285632.03,337875.74,0.0,0,True,False,False,False,False
21013.18,0.0,0.0,0,False,False,False,True,False
4425.8,0.0,0.0,0,False,False,False,True,False
133241.13,10977028.98,212839.07,0,True,False,False,False,False
4640.44,27203.56,0.0,0,False,False,False,True,False
427503.76,0.0,1041451.16,0,False,True,False,False,False
165190.18,0.0,1384438.7,0,False,True,False,False,False
231894.75,0.0,434548.86,0,False,False,False,False,True
134528.85,0.0,406345.27,0,False,True,False,False,False
4553.12,0.0,0.0,0,False,False,False,True,False
16050.32,8310.41,0.0,0,False,False,False,True,False
8988.85,0.0,0.0,0,False,False,False,True,False
238805.3,0.0,501832.06,0,False,True,False,False,False
533315.62,0.0,2541728.38,0,False,True,False,False,False
17455.94,0.0,0.0,0,False,False,False,True,False
3752.41,6413.59,0.0,0,False,False,False,True,False
595.67,0.0,0.0,0,False,False,False,True,False
49194.93,0.0,991196.27,0,False,True,False,False,False
17647.97,0.0,0.0,0,False,False,False,True,False
217365.58,0.0,1710708.94,0,False,False,False,False,True
349.91,101805.09,0.0,0,False,False,False,True,False
2847.67,0.0,0.0,0,False,False,False,True,False
328660.16,24972265.81,414543.57,0,True,False,False,False,False
691694.36,1432856.76,4205933.81,0,True,False,False,False,False
355077.74,355077.74,2794330.58,0,True,False,False,False,False
77380.14,0.0,174872.6,0,False,True,False,False,False
118105.95,0.0,558047.61,0,False,True,False,False,False
8200.25,3239.75,0.0,0,False,False,False,True,False
294938.98,307286.98,0.0,0,True,False,False,False,False
285143.18,0.0,373013.88,0,False,True,False,False,False
451718.08,0.0,501111.68,0,False,False,False,False,True
145514.28,146086.28,0.0,0,True,False,False,False,False
1416.92,171044.94,0.0,0,False,False,False,True,False
324633.29,0.0,4565196.77,0,False,True,False,False,False
356037.76,356251.76,0.0,0,True,False,False,False,False
388.04,5162.96,0.0,0,False,False,False,True,False
13382.68,0.0,604567.47,0,False,True,False,False,False
108722.4,0.0,112394.28,0,False,True,False,False,False
10980.99,5051.01,416843.68,0,False,True,False,False,False
9117.31,299035.69,0.0,0,False,False,False,True,False
44357.36,0.0,0.0,0,False,False,False,True,False
10215.92,117031.29,0.0,0,False,False,False,True,False
17555.22,0.0,0.0,0,False,False,False,True,False
249873.27,0.0,620769.07,0,False,True,False,False,False
20853.31,0.0,0.0,0,False,False,False,True,False
151597.36,0.0,3233682.38,0,False,True,False,False,False
232585.8,0.0,2259236.01,0,False,True,False,False,False
193646.85,0.0,1777936.67,0,False,True,False,False,False
2919.72,7865.28,109192.03,0,False,False,True,False,False
35025.56,0.0,1966850.36,0,False,True,False,False,False
68342.8,0.0,565812.34,0,False,True,False,False,False
165172.6,2755312.66,56455.69,0,True,False,False,False,False
230990.44,0.0,1945749.16,0,False,True,False,False,False
274808.04,0.0,3960902.05,0,False,True,False,False,False
45786.65,2521827.9,125496.93,0,True,False,False,False,False
200268.44,0.0,678024.5,0,False,True,False,False,False
191353.18,4712877.93,402607.06,0,True,False,False,False,False
22774.91,0.0,0.0,0,False,False,False,True,False
9063.08,233524.21,0.0,0,False,False,False,True,False
160816.78,8188695.3,748711.9,0,True,False,False,False,False
3536.98,0.0,0.0,0,False,False,False,True,False
210219.54,3118662.43,431394.43,0,True,False,False,False,False
133262.43,0.0,877706.78,0,False,True,False,False,False
2704.36,275784.22,0.0,0,False,False,False,True,False
230292.27,0.0,335241.68,0,False,True,False,False,False
423485.76,0.0,423485.76,0,False,True,False,False,False
330688.35,1406982.45,883121.85,0,True,False,False,False,False
40449.91,0.0,3067531.82,0,False,True,False,False,False
476298.8,0.0,2486762.19,0,False,True,False,False,False
132043.51,0.0,2704640.12,0,False,True,False,False,False
647.86,20264.14,0.0,0,False,False,False,True,False
25764.72,128498.28,0.0,0,False,False,False,True,False
34958.7,46268.3,34958.7,0,False,True,False,False,False
12877.22,727402.78,0.0,0,False,False,False,True,False
312850.64,343346.64,0.0,0,True,False,False,False,False
2855.88,55738.12,0.0,0,False,False,False,True,False
111341.32,256304.56,655800.07,0,False,True,False,False,False
624723.54,707538.54,0.0,0,True,False,False,False,False
21766.78,0.0,0.0,0,False,False,False,True,False
172865.19,6824955.39,7428081.5,0,True,False,False,False,False
141892.33,182134.33,0.0,0,True,False,False,False,False
27246.51,0.0,0.0,0,False,False,False,True,False
30939.15,14471.81,0.0,0,False,False,False,True,False
72053.03,0.0,499311.82,0,False,True,False,False,False
3285.57,0.0,0.0,0,False,False,False,True,False
3545.07,195351.28,0.0,0,False,False,False,True,False
1555.53,0.0,0.0,0,False,False,False,True,False
216803.7,0.0,951847.53,0,False,True,False,False,False
206010.19,4377233.16,476853.15,0,True,False,False,False,False
20916.73,0.0,0.0,0,False,False,False,True,False
40052.27,0.0,3806638.98,0,False,False,False,False,True
122300.72,0.0,122300.72,0,False,True,False,False,False
363240.27,0.0,1044324.7,0,False,True,False,False,False
98094.55,0.0,1068565.62,0,False,True,False,False,False
1945.62,17996.38,0.0,0,False,False,False,True,False
215151.03,0.0,820893.79,0,False,True,False,False,False
287307.77,0.0,1356781.77,0,False,True,False,False,False
407359.73,2099462.08,1122272.22,0,True,False,False,False,False
369672.98,0.0,3152717.93,0,False,True,False,False,False
6181.62,0.0,0.0,0,False,False,False,True,False
19809.05,104434.48,0.0,0,False,False,False,True,False
341986.68,0.0,1525083.7,0,False,True,False,False,False
4466.85,0.0,0.0,0,False,False,False,True,False
314758.83,325549.83,0.0,0,True,False,False,False,False
58905.66,0.0,255464.43,0,False,False,False,False,True
10564.56,0.0,0.0,0,False,False,False,True,False
102450.39,0.0,102450.39,0,False,True,False,False,False
22161.32,29623.68,0.0,0,False,False,False,True,False
106790.47,0.0,260006.01,0,False,True,False,False,False
9813.34,0.0,0.0,0,False,False,False,True,False
3432.88,0.0,0.0,0,False,False,False,True,False
76455.68,5285473.69,4105965.99,0,True,False,False,False,False
3806.46,6510.38,0.0,0,False,False,False,True,False
59964.24,0.0,304567.31,0,False,True,False,False,False
2722.61,0.0,0.0,0,False,False,False,True,False
114975.92,0.0,114975.92,0,False,True,False,False,False
347312.7,0.0,1564929.78,0,False,True,False,False,False
17339.53,83549.47,0.0,0,False,False,False,True,False
32562.89,0.0,346641.25,0,False,True,False,False,False
149128.9,19163170.59,4884190.68,0,True,False,False,False,False
247691.45,277536.84,356081.59,0,True,False,False,False,False
48255.07,164252.07,0.0,0,True,False,False,False,False
66298.95,127267.95,0.0,0,True,False,False,False,False
363626.22,4674021.23,3633358.35,0,True,False,False,False,False
129349.78,1541840.04,3089482.37,0,True,False,False,False,False
96014.77,0.0,1184750.71,0,False,True,False,False,False
169113.53,1568339.03,702718.08,0,True,False,False,False,False
3476.01,37109.99,77241.4,0,False,True,False,False,False
117211.25,137610.25,0.0,0,True,False,False,False,False
6291.48,49884.52,0.0,0,False,False,False,True,False
8375.37,29519.63,0.0,0,False,False,False,True,False
88615.42,0.0,92233.16,0,False,True,False,False,False
17541.6,0.0,0.0,0,False,False,False,True,False
1420.82,3686.19,0.0,0,False,False,False,True,False
8662.02,139676.02,0.0,0,True,False,False,False,False
415566.51,427416.51,0.0,0,True,False,False,False,False
737.14,10387160.7,786350.58,0,True,False,False,False,False
47481.9,0.0,792379.54,0,False,True,False,False,False
278732.6,0.0,2699626.46,0,False,True,False,False,False
166690.54,10598959.66,1838342.43,0,True,False,False,False,False
370848.51,0.0,769395.19,0,False,True,False,False,False
133628.83,165794.83,0.0,0,True,False,False,False,False
145293.42,148273.42,0.0,0,True,False,False,False,False
786.44,180265.41,0.0,0,False,False,False,True,False
1810.14,0.0,0.0,0,False,False,False,True,False
2417.77,56688.23,0.0,0,False,False,False,True,False
117249.99,0.0,147685.44,0,False,True,False,False,False
142004.59,0.0,263915.24,0,False,True,False,False,False
231676.33,0.0,3869465.0,0,False,True,False,False,False
278300.03,0.0,2141791.24,0,False,True,False,False,False
2590333.97,0.0,5449990.0,0,False,False,False,False,True
546652.31,0.0,7331175.55,0,False,True,False,False,False
324609.22,0.0,668956.24,0,False,True,False,False,False
86225.56,0.0,221231.43,0,False,True,False,False,False
11631.53,0.0,0.0,0,False,False,False,True,False
138087.54,0.0,522386.74,0,False,True,False,False,False
8460.8,69257.2,0.0,0,False,False,False,True,False
6340.43,0.0,0.0,0,False,False,False,True,False
207366.5,4274810.39,713766.93,0,True,False,False,False,False
9733.56,5581.44,0.0,0,False,False,False,True,False
73230.68,0.0,73230.68,0,False,True,False,False,False
18436.47,1820.53,0.0,0,False,False,False,True,False
23965.21,0.0,0.0,0,False,False,False,True,False
87925.25,0.0,3728927.36,0,False,True,False,False,False
429320.47,0.0,11406282.82,0,False,True,False,False,False
22786.17,3311277.54,2364068.61,0,True,False,False,False,False
90076.59,0.0,226414.56,0,False,False,False,False,True
95549.82,0.0,364490.56,0,False,True,False,False,False
7947.18,0.0,0.0,0,False,False,False,True,False
205411.83,0.0,481433.12,0,False,True,False,False,False
49028.96,0.0,508818.88,0,False,False,False,False,True
5499.69,10666.31,0.0,0,False,False,False,True,False
339547.49,0.0,339547.49,0,False,True,False,False,False
184433.86,0.0,184433.86,0,False,True,False,False,False
193881.19,0.0,193881.19,0,False,True,False,False,False
152261.69,0.0,181368.47,0,False,True,False,False,False
209164.1,0.0,1238942.28,0,False,True,False,False,False
286574.6,0.0,2408039.55,0,False,True,False,False,False
58143.88,83370.12,58143.88,0,False,True,False,False,False
19389.4,0.0,906442.11,0,False,True,False,False,False
19539.84,0.0,0.0,0,False,False,False,True,False
256494.2,0.0,627323.02,0,False,True,False,False,False
7832.09,0.0,435151.17,0,False,True,False,False,False
3464.31,5672048.95,386167.99,0,True,False,False,False,False
16283.09,30000.91,25422.15,0,False,True,False,False,False
271938.55,20339737.31,1106511.03,0,True,False,False,False,False
88777.62,0.0,2280935.31,0,False,True,False,False,False
8179.11,9651.35,0.0,0,False,False,False,True,False
3844.42,0.0,0.0,0,False,False,False,True,False
1164.9,106320.1,1528433.32,0,False,False,True,False,False
3237.48,0.0,0.0,0,False,False,False,True,False
482259.95,0.0,5586869.14,0,False,True,False,False,False
5466.03,0.0,0.0,0,False,False,False,True,False
142668.71,0.0,324141.7,0,False,True,False,False,False
250567.63,0.0,926119.97,0,False,True,False,False,False
24548.01,0.0,0.0,0,False,False,False,True,False
315332.63,19292268.81,156634.66,0,True,False,False,False,False
9115.76,47416.24,0.0,0,False,False,False,True,False
11450.12,106441.88,0.0,0,False,False,False,True,False
17669.99,23269.99,0.0,0,True,False,False,False,False
27853.7,2025228.53,146723.39,0,True,False,False,False,False
885.14,553011.15,0.0,0,False,False,False,True,False
263270.68,0.0,263270.68,0,False,True,False,False,False
111584.6,3577306.62,2473258.96,0,True,False,False,False,False
238942.83,329340.6,20552643.2,0,True,False,False,False,False
8215.62,110274.66,0.0,0,False,False,False,True,False
7419.61,17909.39,0.0,0,False,False,False,True,False
141096.85,0.0,162309.85,0,False,True,False,False,False
68402.97,0.0,68402.97,0,False,True,False,False,False
407386.32,0.0,1249986.52,0,False,True,False,False,False
210077.58,0.0,380167.01,0,False,True,False,False,False
544890.56,0.0,2598609.79,0,False,True,False,False,False
167869.5,0.0,3157043.0,0,False,True,False,False,False
206351.02,308173.02,334509.42,0,True,False,False,False,False
249781.41,0.0,2576075.84,0,False,True,False,False,False
15814.75,783.91,0.0,0,False,False,False,True,False
539510.01,0.0,1524397.8,0,False,False,False,False,True
87646.89,0.0,3685578.61,0,False,True,False,False,False
14139.44,521420.18,0.0,0,False,False,False,True,False
211633.16,95637.75,905427.92,0,False,True,False,False,False
56873.58,57234.58,399429.13,0,True,False,False,False,False
3649.81,78303.19,0.0,0,False,False,False,True,False
128146.55,1731423.62,2053933.32,0,True,False,False,False,False
223982.0,224522.0,0.0,0,True,False,False,False,False
11404.46,6607.54,0.0,0,False,False,False,True,False
124545.18,124749.18,2420948.53,0,True,False,False,False,False
11921.54,682191.25,0.0,0,False,False,False,True,False
15902.84,0.0,0.0,0,False,False,False,True,False
137326.07,0.0,1848842.5,0,False,False,False,False,True
113717.08,4131799.29,2875219.55,0,True,False,False,False,False
137722.35,0.0,792282.2,0,False,True,False,False,False
230700.85,382058.85,55881.68,0,True,False,False,False,False
270519.08,270569.08,510484.04,0,True,False,False,False,False
100193.79,0.0,433033.7,0,False,True,False,False,False
183192.17,0.0,1303151.36,0,False,True,False,False,False
67336.2,0.0,383352.99,0,False,True,False,False,False
8003.24,0.0,0.0,0,False,False,False,True,False
443719.49,0.0,3736879.41,0,False,True,False,False,False
266960.48,8210956.61,412258.89,0,True,False,False,False,False
17837.01,4054.99,0.0,0,False,False,False,True,False
10359.13,410683.87,0.0,0,False,False,False,True,False
8978.64,241438.36,0.0,0,False,False,False,True,False
121730.94,0.0,273896.1,0,False,True,False,False,False
18057.86,1850.45,0.0,0,False,False,False,True,False
128158.4,0.0,392686.44,0,False,True,False,False,False
95076.14,110958.03,656877.63,0,False,True,False,False,False
985874.92,0.0,6648490.71,0,False,False,False,False,True
23431.96,7751.04,0.0,0,False,False,False,True,False
57762.33,1817416.92,8627922.23,0,True,False,False,False,False
53948.17,0.0,232000.85,0,False,True,False,False,False
303300.92,0.0,8754212.35,0,False,True,False,False,False
98374.57,6833096.5,28057902.84,0,True,False,False,False,False
